21;Santa Elena;Área Metropolitana Oriente;Casa de Gobierno Parque Principal;Miércoles (cada ocho días) de 7:30 a.m hasta las 4:30 p.m en Jornada Continúa;Medellín;Casa de Gobierno Parque Principal del corregimiento de Santa Elena;NO hay punto de entrega para tarjeta Somos
22;Caldas;Área Metropolitana Sur;Carrera 50 N. 127 Sur - 59 Local 101;Lunes a viernes de 07:30 a. m. a 4:30 p. m. Jornada Continúa;Caldas;Edificio Punto Centro, frente al despacho de los buses que van para el Medellín, por la panadería Trigalia y frente al restaurante Shop Swey;NO hay punto de entrega para tarjeta Somos
23;Envigado;Área Metropolitana Sur;CR 43 CL 38 A Sur- 31;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Envigado;Al lado de la Personería, cerca a la alcaldía y el concejo, A dos cuadras del parque principal hacia el sur;NO hay punto de entrega para tarjeta Somos
24;La Estrella;Área Metropolitana Sur;CL 80 SUR CR 59 -14;Lunes a viernes de 07:30 a. m. a 04:30 p.m. Jornada Continúa;La Estrella;Una cuadra abajo del parque principal, por donde suben los buses, al lado de Tostao y cerca del CAMI de ese Mpio;NO hay punto de entrega para tarjeta Somos
25;Poblado;Área Metropolitana Sur;CL 10 CR 42 -18;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Medellín;Cuadra y media arriba del parque principal por toda la calle 10;NO hay punto de entrega para tarjeta Somos
26;San Antonio de Prado;Área Metropolitana Sur;CL 41 SUR CR 80-47;Lunes a viernes de 08:00 a.m. a 04:00 p.m. Horario de atención establecido por reapertura de Covid 19;Medellín;Media cuadra arriba parque del corregimiento, por la carnicería Porci Carnes, por donde suben los buses, al lado del almacén todo a $5 mil;NO hay punto de entrega para tarjeta Somos
27;Punto Fácil Envigado;Área Metropolitana Sur;Carrera 43 N°38 A Sur-31;Lunes a viernes de 06:30 a.m. a 06:30 p.m.;Punto Fácil Envigado;;NO hay punto de entrega para tarjeta Somos
28;Itaguí (Nueva Sede);Área Metropolitana Sur;CR 52 CL 84 A -20;Lunes a viernes de 07:30 a. m. a 04:30 p. m. - Jornada continua;Itagüí;Diagonal al parque de las chimeneas;NO hay punto de entrega para tarjeta Somos
29;Sabaneta;Área Metropolitana Sur;Cl 69 sur # 46 47;Lunes a Viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Sabaneta;Diagonal al almacén Pacho Pinturas, dos cuadras antes de llegar al parque;NO hay punto de entrega para tarjeta Somos
30;Punto fácil Guayabal;Área Metropolitana Suroccidente;Carrera 52 N.9 Sur 42;07:30 a.m.. a 05:30 p.m. En proceso de adecuación espacio Atención a través de asesor en línea y autogestión;Punto fácil Guayabal;Al lado de Bodegas Pisente y Constru Universal, materiales de construcción ;NO hay punto de entrega para tarjeta Somos
31;Cáceres;Bajo Cauca;Calle 50 N. 50 -29;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. 05:00 p.m.;Cáceres;;NO hay punto de entrega para tarjeta Somos
32;El Bagre;Bajo Cauca;Carrera 48 N. 51A - 11 Avenida La Juventud;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;El Bagre;;NO hay punto de entrega para tarjeta Somos
33;Jardín de Cáceres;Bajo Cauca;Calle 29 N. 20-19 Vía Manizales;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. 05:00 p.m.;Jardín de Cáceres;;NO hay punto de entrega para tarjeta Somos
34;Puerto Valdivia;Bajo Cauca;Calle debajo del puente;Viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Puerto Valdivia;;NO hay punto de entrega para tarjeta Somos
35;Tarazá;Bajo Cauca;Carrera 30 N. 30 -24;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Tarazá;;NO hay punto de entrega para tarjeta Somos
36;Zaragoza;Bajo Cauca;Carrera 41 N. 39 - 31;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Zaragoza;;NO hay punto de entrega para tarjeta Somos
37;Carmen de Atrato;Departamento del Chocó;Calle 5 N. 3 - 40 Las Flores;Miércoles y jueves de 8:00 a.m. a 12:00 m y de 1:00 p.m. a 3:30 p.m;Carmen de Atrato;;NO hay punto de entrega para tarjeta Somos
38;Caracolí;Magdalena Medio;Calle del Comercio 20 - 55;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Caracolí;;NO hay punto de entrega para tarjeta Somos
39;Doradal;Magdalena Medio;Calle 20 N. 23 52;Lunes, miércoles y viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p. m.;Doradal;;NO hay punto de entrega para tarjeta Somos
40;La Sierra;Magdalena Medio;Carrera 2 N. 20 - 63 (municipio de La Sierra Antioquia);Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a. m. y de 1:00 p.m. a 05:00 p.m.;La Sierra;;NO hay punto de entrega para tarjeta Somos
41;Maceo;Magdalena Medio;Calle 30 N. 30A - 13;Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Maceo;;NO hay punto de entrega para tarjeta Somos
42;Puerto Nare;Magdalena Medio;Carrera 2 N. 48 - 13;Martes y jueves de 08:00 a.m. a 11:30 a.m. y de 01:00 p.m. a 04:00 p.m.;Puerto Nare;;NO hay punto de entrega para tarjeta Somos
43;Puerto Triunfo;Magdalena Medio;Calle 11 N. 12 - 22 Avenida Nápoles;Martes y jueves de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Puerto Triunfo;;NO hay punto de entrega para tarjeta Somos
44;Yondó;Magdalena Medio;Calle 54 N. 50 - 04 (es la de EDATEL);Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Yondó;;NO hay punto de entrega para tarjeta Somos
45;Amalfi;Nordeste Antioqueño;Carrera 21 (Sucre) N. 20 - 12;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Amalfi;;SI hay punto de entrega para tarjeta Somos
46;Cisneros;Nordeste Antioqueño;Calle 19 N. 19C - 101 Avenida del Ferrocarril;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Cisneros;;SI hay punto de entrega para tarjeta Somos
47;Puerto Berrio;Nordeste Antioqueño;Calle 51 N. 7 - 39;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Puerto Berrio;;SI hay punto de entrega para tarjeta Somos
48;San Roque;Nordeste Antioqueño;Calle 20 N. 18 - 36;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;San Roque;;SI hay punto de entrega para tarjeta Somos
49;Anorí;Nordeste Antioqueño;Calle 29 N. 29 - 39;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 01:00 p.m. a 05:00 p.m.;Anorí;;NO hay punto de entrega para tarjeta Somos
50;Remedios;Nordeste Antioqueño;Calle 10 N. 09-16 (es la de EDATEL);Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Remedios;;NO hay punto de entrega para tarjeta Somos
51;San José del Nús;Nordeste Antioqueño;Carrera 10 N. 8 - 45 Calle principal San José del Nus;Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;San José del Nús;Salida a Caracolí;NO hay punto de entrega para tarjeta Somos
52;Santo Domingo;Nordeste Antioqueño;Calle 13 N. 15-14, local 9. Parque principal municipio de Santo Domingo Antioquia;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Santo Domingo;;NO hay punto de entrega para tarjeta Somos
53;Segovia;Nordeste Antioqueño;Carrera. 50 N. 51 - 41 (Caratal) Edificio JAR segundo piso;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Segovia;;NO hay punto de entrega para tarjeta Somos
54;Vegachí;Nordeste Antioqueño;Carrera 50 N. 49 - 62;Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Vegachí;;NO hay punto de entrega para tarjeta Somos
55;Yalí;Nordeste Antioqueño;Carrera 20 N. 19 - 29;Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Yalí;;NO hay punto de entrega para tarjeta Somos
56;Yolombó;Nordeste Antioqueño;Calle 21 N. 18 - 25;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Yolombó;;NO hay punto de entrega para tarjeta Somos
57;Angostura;Norte Antioqueño;Carrera 10 No. 13 -29;Miércoles, jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Angostura;;NO hay punto de entrega para tarjeta Somos
58;Belmira;Norte Antioqueño;Calle 21 N. 20 - 26;Martes y miércoles de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Belmira;;NO hay punto de entrega para tarjeta Somos
59;Briceño;Norte Antioqueño;Calle 11 - Edificio de Eugenio Posada - Primer Piso;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Briceño;;NO hay punto de entrega para tarjeta Somos
